Epoch,Iteration,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
12,2000,1.629612,0.81,1.634823,0.8
12,4000,1.64318,0.7,1.647756,0.72
12,6000,1.643362,0.72,1.646904,0.74
12,8000,1.634578,0.78,1.639698,0.76
12,10000,1.640009,0.74,1.641706,0.71
12,12000,1.646624,0.65,1.650616,0.67
12,14000,1.637232,0.72,1.638782,0.77
12,16000,1.644072,0.69,1.637816,0.75
12,18000,1.622444,0.81,1.637807,0.76
12,20000,1.626164,0.81,1.634576,0.78
12,22000,1.626613,0.83,1.63243,0.78
13,0,1.63903,0.72,1.635364,0.75
13,2000,1.628603,0.79,1.640902,0.75
13,4000,1.633135,0.77,1.646064,0.73
13,6000,1.637514,0.75,1.641224,0.75
13,8000,1.634864,0.78,1.640132,0.76
13,10000,1.634026,0.74,1.651467,0.69
13,12000,1.640356,0.71,1.642862,0.75
13,14000,1.633119,0.79,1.639706,0.76
13,16000,1.640997,0.74,1.635068,0.72
13,18000,1.61395,0.82,1.634681,0.74
13,20000,1.63089,0.76,1.632256,0.79
13,22000,1.626483,0.82,1.631789,0.76
14,0,1.638368,0.7,1.629871,0.79
14,2000,1.629755,0.78,1.632521,0.79
14,4000,1.640481,0.78,1.646644,0.72
14,6000,1.633951,0.79,1.650068,0.69
14,8000,1.633431,0.8,1.64093,0.73
14,10000,1.629121,0.78,1.642791,0.76
14,12000,1.635807,0.74,1.637792,0.74
14,14000,1.632322,0.76,1.632606,0.8
14,16000,1.637741,0.7,1.637725,0.77
14,18000,1.610141,0.85,1.63037,0.77
14,20000,1.62065,0.79,1.635088,0.78
14,22000,1.631311,0.82,1.648292,0.73
15,0,1.636665,0.76,1.631506,0.78
15,2000,1.628143,0.79,1.637757,0.79
15,4000,1.63336,0.78,1.651924,0.68
15,6000,1.63128,0.77,1.649191,0.74
15,8000,1.63382,0.81,1.65409,0.69
15,10000,1.643376,0.75,1.655289,0.73
15,12000,1.637586,0.78,1.640666,0.74
15,14000,1.634973,0.73,1.629674,0.81
15,16000,1.62822,0.75,1.636863,0.74
15,18000,1.6049,0.87,1.641107,0.75
15,20000,1.630776,0.78,1.636918,0.78
15,22000,1.620846,0.8,1.641774,0.74
16,0,1.635725,0.76,1.63237,0.79
16,2000,1.628287,0.8,1.636225,0.76
16,4000,1.642163,0.75,1.644296,0.72
16,6000,1.631669,0.76,1.643184,0.77
16,8000,1.641192,0.81,1.652104,0.72
16,10000,1.644134,0.75,1.646286,0.75
16,12000,1.640856,0.74,1.648209,0.7
16,14000,1.632766,0.76,1.637673,0.79
16,16000,1.631882,0.77,1.637037,0.76
16,18000,1.608949,0.88,1.627177,0.8
16,20000,1.623389,0.77,1.640645,0.8
16,22000,1.613664,0.84,1.637387,0.79
17,0,1.636794,0.77,1.634142,0.8
17,2000,1.630417,0.78,1.63535,0.77
17,4000,1.631288,0.8,1.657076,0.74
17,6000,1.636488,0.75,1.65194,0.7
17,8000,1.644586,0.76,1.65805,0.7
17,10000,1.626083,0.81,1.641429,0.74
17,12000,1.62907,0.8,1.63957,0.76
17,14000,1.619209,0.84,1.638758,0.76
17,16000,1.626921,0.78,1.646051,0.77
17,18000,1.600954,0.91,1.630716,0.79
17,20000,1.62055,0.81,1.641149,0.79
17,22000,1.613204,0.84,1.646083,0.76
18,0,1.636804,0.73,1.64037,0.76
18,2000,1.632138,0.78,1.63996,0.74
18,4000,1.638004,0.78,1.649271,0.75
18,6000,1.635901,0.75,1.657996,0.68
18,8000,1.651732,0.7,1.653622,0.72
18,10000,1.631778,0.79,1.641955,0.73
18,12000,1.629031,0.78,1.632081,0.77
18,14000,1.613944,0.85,1.634227,0.79
18,16000,1.625107,0.79,1.644454,0.75
18,18000,1.614084,0.87,1.636396,0.77
18,20000,1.618456,0.81,1.631354,0.79
18,22000,1.619362,0.81,1.645713,0.74
19,0,1.630251,0.76,1.636539,0.77
19,2000,1.624219,0.81,1.640886,0.74
19,4000,1.63176,0.76,1.644827,0.73
19,6000,1.62849,0.81,1.65012,0.71
19,8000,1.64952,0.74,1.661762,0.69
19,10000,1.629803,0.81,1.644391,0.72
19,12000,1.621405,0.84,1.640861,0.74
19,14000,1.610571,0.86,1.636222,0.75
19,16000,1.621026,0.82,1.639522,0.77
19,18000,1.601748,0.9,1.644165,0.79
19,20000,1.625948,0.78,1.639102,0.74
19,22000,1.639357,0.71,1.649943,0.7
20,0,1.642704,0.74,1.641046,0.78
20,2000,1.645512,0.72,1.652282,0.74
20,4000,1.633241,0.75,1.637173,0.76
20,6000,1.628071,0.81,1.64721,0.69
20,8000,1.641708,0.8,1.649269,0.72
20,10000,1.647019,0.7,1.648246,0.74
20,12000,1.620364,0.8,1.630732,0.79
20,14000,1.611584,0.83,1.63485,0.76
20,16000,1.635815,0.78,1.656707,0.67
20,18000,1.609267,0.87,1.635035,0.8
20,20000,1.620239,0.83,1.639172,0.73
20,22000,1.641172,0.7,1.64984,0.69
21,0,1.640576,0.75,1.643849,0.77
21,2000,1.624795,0.82,1.63031,0.79
21,4000,1.634114,0.79,1.637283,0.8
21,6000,1.626392,0.8,1.645816,0.74
21,8000,1.629304,0.82,1.656449,0.71
21,10000,1.633228,0.79,1.639572,0.73
21,12000,1.62554,0.8,1.632416,0.79
21,14000,1.612389,0.87,1.629179,0.79
21,16000,1.628494,0.79,1.651432,0.71
21,18000,1.60693,0.84,1.637023,0.8
21,20000,1.616033,0.84,1.641519,0.74
21,22000,1.629436,0.77,1.642913,0.67
22,0,1.630481,0.81,1.646384,0.77
22,2000,1.618138,0.83,1.630325,0.8
22,4000,1.621565,0.8,1.638298,0.76
22,6000,1.624414,0.87,1.640468,0.75
22,8000,1.619661,0.87,1.647482,0.75
22,10000,1.62026,0.82,1.643246,0.71
22,12000,1.627165,0.79,1.635525,0.8
22,14000,1.608721,0.86,1.636669,0.76
22,16000,1.619779,0.86,1.652828,0.76
22,18000,1.600505,0.87,1.628756,0.83
22,20000,1.614678,0.83,1.642793,0.74
22,22000,1.610759,0.85,1.629957,0.79
23,0,1.628832,0.8,1.638897,0.76
23,2000,1.61761,0.85,1.639189,0.75
23,4000,1.62737,0.8,1.643484,0.69
23,6000,1.623396,0.84,1.643031,0.7
23,8000,1.617081,0.87,1.653021,0.7
23,10000,1.623958,0.8,1.649533,0.7
23,12000,1.622167,0.83,1.636944,0.78
23,14000,1.605161,0.88,1.638889,0.76
23,16000,1.624773,0.8,1.65501,0.73
23,18000,1.585035,0.96,1.633554,0.81
23,20000,1.616178,0.83,1.641777,0.74
23,22000,1.604915,0.86,1.629798,0.81
24,0,1.627397,0.78,1.63048,0.79
24,2000,1.616872,0.85,1.638863,0.75
24,4000,1.621931,0.83,1.639778,0.78
24,6000,1.621821,0.81,1.651439,0.69
24,8000,1.619011,0.83,1.657627,0.72
24,10000,1.62926,0.82,1.665538,0.65
24,12000,1.622047,0.82,1.641834,0.78
24,14000,1.612663,0.83,1.639707,0.78
24,16000,1.637982,0.79,1.657872,0.74
24,18000,1.610044,0.87,1.641429,0.77
24,20000,1.618271,0.84,1.643049,0.71
24,22000,1.60272,0.9,1.647197,0.77
25,0,1.636642,0.81,1.645216,0.76
25,2000,1.61222,0.85,1.642552,0.73
25,4000,1.627695,0.79,1.646482,0.74
25,6000,1.6416,0.75,1.646321,0.77
25,8000,1.619875,0.84,1.647588,0.74
25,10000,1.618022,0.84,1.651641,0.74
25,12000,1.619814,0.82,1.642919,0.77
25,14000,1.606592,0.86,1.641291,0.74
25,16000,1.622362,0.78,1.666324,0.73
25,18000,1.626863,0.76,1.663308,0.65
25,20000,1.605599,0.88,1.636924,0.81
25,22000,1.602258,0.89,1.642159,0.76
26,0,1.623169,0.81,1.640131,0.77
26,2000,1.617951,0.85,1.643111,0.76
26,4000,1.61291,0.83,1.653461,0.71
26,6000,1.621044,0.84,1.652321,0.74
26,8000,1.621634,0.82,1.648832,0.75
26,10000,1.618757,0.85,1.649315,0.75
26,12000,1.615235,0.84,1.631799,0.8
26,14000,1.598973,0.9,1.638938,0.78
26,16000,1.613087,0.84,1.653226,0.75
26,18000,1.621433,0.76,1.658139,0.64
26,20000,1.607889,0.84,1.643936,0.8
26,22000,1.597122,0.93,1.635009,0.8
27,0,1.620795,0.81,1.632677,0.8
27,2000,1.610217,0.87,1.648006,0.71
27,4000,1.610668,0.85,1.651517,0.69
27,6000,1.617165,0.83,1.653927,0.7
27,8000,1.623722,0.82,1.657393,0.71
27,10000,1.617335,0.83,1.637682,0.79
27,12000,1.612317,0.87,1.629702,0.78
27,14000,1.601437,0.89,1.643882,0.74
27,16000,1.611096,0.88,1.644284,0.75
27,18000,1.608705,0.83,1.660997,0.64
27,20000,1.628883,0.82,1.654183,0.8
27,22000,1.600834,0.88,1.637545,0.76
28,0,1.614354,0.88,1.62879,0.82
28,2000,1.610917,0.89,1.650372,0.72
28,4000,1.611366,0.86,1.635793,0.74
28,6000,1.614218,0.86,1.658595,0.72
28,8000,1.610738,0.89,1.661354,0.73
28,10000,1.627264,0.76,1.633826,0.78
28,12000,1.621337,0.83,1.645645,0.75
28,14000,1.597327,0.92,1.631659,0.78
28,16000,1.611881,0.86,1.648935,0.77
28,18000,1.603783,0.87,1.649392,0.73
28,20000,1.593864,0.92,1.656065,0.77
28,22000,1.612382,0.83,1.636567,0.76
29,0,1.616597,0.86,1.638155,0.76
29,2000,1.619896,0.83,1.642211,0.72
29,4000,1.618322,0.85,1.630636,0.79
29,6000,1.607032,0.86,1.645368,0.75
29,8000,1.612063,0.88,1.649068,0.75
29,10000,1.61876,0.81,1.643486,0.76
29,12000,1.621222,0.82,1.640987,0.74
29,14000,1.590341,0.92,1.637179,0.78
29,16000,1.616936,0.87,1.632613,0.82
29,18000,1.6069,0.86,1.644962,0.71
29,20000,1.598152,0.89,1.661626,0.74
29,22000,1.601698,0.89,1.632729,0.76
30,0,1.615609,0.84,1.627428,0.8
30,2000,1.614648,0.86,1.624202,0.81
30,4000,1.6208,0.81,1.635658,0.77
30,6000,1.601281,0.89,1.638716,0.76
30,8000,1.608553,0.89,1.634068,0.81
30,10000,1.618942,0.84,1.642527,0.77
30,12000,1.619361,0.82,1.639399,0.76
30,14000,1.595228,0.89,1.623165,0.8
30,16000,1.616175,0.83,1.640064,0.76
30,18000,1.602124,0.93,1.646956,0.71
30,20000,1.619241,0.83,1.652622,0.74
30,22000,1.604247,0.89,1.637771,0.77
31,0,1.625094,0.8,1.633473,0.78
31,2000,1.615883,0.85,1.634308,0.79
31,4000,1.625023,0.82,1.634744,0.74
31,6000,1.617839,0.83,1.638711,0.77
31,8000,1.614378,0.87,1.637867,0.79
31,10000,1.624699,0.84,1.653302,0.73
31,12000,1.617169,0.8,1.627313,0.82
31,14000,1.593975,0.92,1.624269,0.79
31,16000,1.605212,0.93,1.633427,0.8
31,18000,1.591587,0.97,1.636778,0.75
31,20000,1.622585,0.82,1.636611,0.79
31,22000,1.610403,0.85,1.629639,0.8
32,0,1.630966,0.77,1.641655,0.78
32,2000,1.623016,0.83,1.62579,0.82
32,4000,1.620196,0.86,1.63353,0.78
32,6000,1.629202,0.82,1.640309,0.76
32,8000,1.604004,0.88,1.638363,0.79
32,10000,1.612321,0.87,1.651576,0.75
32,12000,1.612322,0.86,1.625531,0.81
32,14000,1.599808,0.92,1.633403,0.8
32,16000,1.600505,0.93,1.625841,0.84
32,18000,1.594009,0.92,1.653111,0.73
32,20000,1.592061,0.94,1.642183,0.77
32,22000,1.61391,0.85,1.64334,0.73
33,0,1.619579,0.85,1.634137,0.75
33,2000,1.613825,0.85,1.633958,0.81
33,4000,1.617126,0.86,1.643407,0.77
33,6000,1.601122,0.88,1.633076,0.79
33,8000,1.619877,0.83,1.648912,0.75
33,10000,1.60641,0.87,1.652241,0.75
33,12000,1.612475,0.87,1.633307,0.78
33,14000,1.597135,0.88,1.630036,0.79
33,16000,1.598433,0.92,1.633997,0.8
33,18000,1.59083,0.93,1.668618,0.7
33,20000,1.616678,0.9,1.658498,0.78
33,22000,1.594203,0.93,1.635,0.79
34,0,1.622789,0.83,1.628452,0.79
34,2000,1.608592,0.87,1.642829,0.76
34,4000,1.625531,0.81,1.64841,0.75
34,6000,1.618905,0.87,1.651195,0.74
34,8000,1.61082,0.87,1.647718,0.74
34,10000,1.603118,0.89,1.662384,0.7
34,12000,1.606306,0.89,1.634945,0.8
34,14000,1.593058,0.9,1.626485,0.81
34,16000,1.593958,0.94,1.637025,0.78
34,18000,1.604777,0.91,1.645476,0.72
34,20000,1.591891,0.9,1.657407,0.83
34,22000,1.601557,0.88,1.638909,0.8
35,0,1.610324,0.87,1.633253,0.79
35,2000,1.619183,0.81,1.626455,0.83
35,4000,1.620461,0.84,1.633705,0.78
35,6000,1.599596,0.89,1.650547,0.74
35,8000,1.615929,0.86,1.651839,0.71
35,10000,1.602682,0.92,1.642004,0.73
35,12000,1.605972,0.9,1.631361,0.81
35,14000,1.590216,0.93,1.630965,0.77
35,16000,1.590665,0.96,1.630947,0.75
35,18000,1.592136,0.91,1.64936,0.76
35,20000,1.588517,0.94,1.636307,0.83
35,22000,1.591674,0.93,1.640466,0.79
36,0,1.609531,0.88,1.634311,0.81
36,2000,1.599275,0.92,1.620853,0.82
36,4000,1.611926,0.86,1.640531,0.75
36,6000,1.591122,0.91,1.633651,0.78
36,8000,1.624778,0.83,1.662251,0.66
36,10000,1.619239,0.85,1.647043,0.76
36,12000,1.609969,0.88,1.627728,0.83
36,14000,1.585428,0.95,1.640562,0.79
36,16000,1.588708,0.96,1.639173,0.79
36,18000,1.588622,0.96,1.645553,0.75
36,20000,1.592887,0.95,1.631261,0.79
36,22000,1.583073,0.96,1.643001,0.8
37,0,1.623845,0.82,1.644916,0.76
37,2000,1.599094,0.91,1.63936,0.82
37,4000,1.603647,0.86,1.63075,0.78
37,6000,1.605564,0.91,1.637259,0.79
37,8000,1.610641,0.89,1.65576,0.71
37,10000,1.609707,0.87,1.629678,0.81
37,12000,1.612545,0.82,1.637254,0.76
37,14000,1.590998,0.93,1.633707,0.77
37,16000,1.627643,0.77,1.630687,0.79
37,18000,1.60122,0.9,1.650278,0.78
37,20000,1.595277,0.96,1.625297,0.8
37,22000,1.595251,0.92,1.630566,0.79
38,0,1.62201,0.84,1.631488,0.81
38,2000,1.607838,0.86,1.631406,0.81
38,4000,1.613375,0.87,1.634349,0.78
38,6000,1.597571,0.92,1.641322,0.81
38,8000,1.606217,0.86,1.647927,0.76
38,10000,1.590353,0.94,1.645589,0.77
38,12000,1.601438,0.87,1.632444,0.75
38,14000,1.590096,0.93,1.623029,0.82
38,16000,1.622133,0.8,1.6493,0.74
38,18000,1.596218,0.94,1.656376,0.76
38,20000,1.60086,0.93,1.634718,0.79
38,22000,1.590082,0.94,1.6363,0.77
39,0,1.62531,0.8,1.632828,0.8
39,2000,1.60606,0.89,1.624314,0.82
39,4000,1.613898,0.86,1.648419,0.75
39,6000,1.589777,0.91,1.638892,0.8
39,8000,1.605986,0.89,1.653365,0.74
39,10000,1.593068,0.92,1.643798,0.76
39,12000,1.602733,0.88,1.634122,0.79
39,14000,1.589187,0.93,1.637919,0.81
39,16000,1.5947,0.93,1.638756,0.76
39,18000,1.585932,0.93,1.635963,0.77
39,20000,1.593024,0.96,1.631097,0.81
39,22000,1.590598,0.92,1.630326,0.76
40,0,1.610453,0.85,1.640208,0.78
40,2000,1.592739,0.94,1.632689,0.76
40,4000,1.612676,0.85,1.646958,0.77
40,6000,1.588339,0.94,1.633973,0.82
40,8000,1.596972,0.94,1.646422,0.72
40,10000,1.583139,0.96,1.644598,0.76
40,12000,1.599584,0.91,1.638568,0.76
40,14000,1.584366,0.97,1.636906,0.81
40,16000,1.585367,0.96,1.631155,0.8
40,18000,1.588073,0.93,1.644324,0.77
40,20000,1.586503,0.96,1.636773,0.74
40,22000,1.58173,0.97,1.657353,0.72
41,0,1.599789,0.9,1.63799,0.77
41,2000,1.610385,0.89,1.637637,0.78
41,4000,1.614074,0.91,1.64948,0.78
41,6000,1.58602,0.96,1.634869,0.79
41,8000,1.597264,0.94,1.644751,0.74
41,10000,1.582698,0.96,1.641713,0.77
41,12000,1.601879,0.89,1.638268,0.74
41,14000,1.585963,0.95,1.637738,0.78
41,16000,1.594036,0.93,1.632999,0.79
41,18000,1.589018,0.94,1.659331,0.68
41,20000,1.589811,0.95,1.64304,0.78
41,22000,1.579771,0.98,1.647252,0.71
42,0,1.609588,0.9,1.638336,0.74
42,2000,1.62662,0.81,1.652727,0.76
42,4000,1.610588,0.88,1.650933,0.75
42,6000,1.589869,0.96,1.632681,0.79
42,8000,1.60363,0.92,1.632468,0.81
42,10000,1.591862,0.93,1.650071,0.76
42,12000,1.613892,0.86,1.639727,0.79
42,14000,1.601853,0.85,1.645091,0.77
42,16000,1.58026,0.97,1.641409,0.76
42,18000,1.579414,0.96,1.642671,0.77
42,20000,1.58832,0.94,1.644538,0.7
42,22000,1.58012,0.96,1.637513,0.78
43,0,1.599203,0.89,1.651222,0.72
43,2000,1.601723,0.91,1.652,0.75
43,4000,1.601608,0.91,1.646551,0.75
43,6000,1.589075,0.96,1.637302,0.79
43,8000,1.598231,0.91,1.640381,0.73
43,10000,1.589639,0.94,1.643143,0.77
43,12000,1.605436,0.89,1.650322,0.73
43,14000,1.59411,0.93,1.65931,0.73
43,16000,1.587511,0.97,1.641831,0.77
43,18000,1.575219,0.98,1.63599,0.77
43,20000,1.593661,0.92,1.633676,0.74
43,22000,1.588432,0.96,1.626157,0.78
44,0,1.596765,0.94,1.637666,0.73
44,2000,1.594062,0.89,1.651306,0.76
44,4000,1.616134,0.84,1.636132,0.79
44,6000,1.600892,0.91,1.648205,0.74
44,8000,1.593361,0.91,1.652778,0.68
44,10000,1.591753,0.9,1.646066,0.75
44,12000,1.589603,0.93,1.63922,0.79
44,14000,1.576437,0.97,1.644212,0.77
44,16000,1.594445,0.93,1.634738,0.79
44,18000,1.576682,0.97,1.642746,0.75
44,20000,1.590569,0.94,1.635692,0.8
44,22000,1.580022,0.95,1.641399,0.74
45,0,1.590862,0.94,1.628447,0.79
45,2000,1.594816,0.95,1.635376,0.77
45,4000,1.632892,0.82,1.659113,0.71
45,6000,1.586295,0.94,1.648418,0.76
45,8000,1.608547,0.93,1.637282,0.76
45,10000,1.582613,0.96,1.6308,0.78
45,12000,1.595261,0.92,1.636229,0.78
45,14000,1.581147,0.97,1.640448,0.75
45,16000,1.590213,0.95,1.637696,0.8
45,18000,1.576574,0.98,1.646089,0.75
45,20000,1.585542,0.95,1.628522,0.76
45,22000,1.576432,0.98,1.62545,0.78
46,0,1.599572,0.91,1.652635,0.73
46,2000,1.590392,0.93,1.636287,0.81
46,4000,1.614869,0.89,1.655897,0.72
46,6000,1.590149,0.91,1.63425,0.78
46,8000,1.600529,0.93,1.638465,0.78
46,10000,1.575978,0.96,1.628838,0.78
46,12000,1.578146,0.96,1.633282,0.79
46,14000,1.583017,0.95,1.634761,0.78
46,16000,1.579825,0.98,1.627894,0.83
46,18000,1.575487,0.98,1.634421,0.79
46,20000,1.578403,0.97,1.620792,0.79
46,22000,1.581444,0.96,1.634415,0.8
47,0,1.588688,0.95,1.646899,0.71
47,2000,1.590768,0.96,1.647217,0.76
47,4000,1.610314,0.89,1.657233,0.7
47,6000,1.581814,0.95,1.637142,0.76
47,8000,1.593648,0.93,1.644919,0.75
47,10000,1.589265,0.91,1.643308,0.77
47,12000,1.578448,0.96,1.632584,0.79
47,14000,1.581679,0.96,1.640901,0.77
47,16000,1.586472,0.95,1.632443,0.78
47,18000,1.569341,1.0,1.639954,0.75
47,20000,1.57348,0.98,1.633263,0.77
47,22000,1.577796,0.96,1.649213,0.75
48,0,1.583707,0.97,1.637679,0.76
48,2000,1.591123,0.94,1.650369,0.72
48,4000,1.602589,0.9,1.652261,0.75
48,6000,1.588608,0.94,1.649703,0.66
48,8000,1.594962,0.93,1.640537,0.78
48,10000,1.582841,0.95,1.647494,0.78
48,12000,1.583244,0.94,1.638445,0.78
48,14000,1.571903,0.99,1.632094,0.81
48,16000,1.584607,0.97,1.644058,0.79
48,18000,1.573855,0.96,1.646715,0.77
48,20000,1.573917,1.0,1.642567,0.76
48,22000,1.571648,1.0,1.641141,0.77
49,0,1.581968,0.97,1.632553,0.8
49,2000,1.583249,0.95,1.652306,0.69
49,4000,1.593586,0.93,1.647194,0.71
49,6000,1.577659,0.97,1.649436,0.73
49,8000,1.585176,0.96,1.651671,0.77
49,10000,1.579739,0.97,1.640492,0.7
49,12000,1.587781,0.95,1.648456,0.74
49,14000,1.583701,0.97,1.638038,0.8
49,16000,1.577354,0.97,1.63572,0.77
49,18000,1.570146,0.99,1.649689,0.74
49,20000,1.570163,1.0,1.649871,0.77
49,22000,1.57311,0.98,1.63905,0.77
50,0,1.59847,0.88,1.637444,0.79
50,2000,1.586358,0.95,1.665601,0.71
50,4000,1.594532,0.93,1.639588,0.74
50,6000,1.579961,0.98,1.648988,0.71
50,8000,1.585878,0.96,1.649377,0.73
50,10000,1.572962,0.98,1.636481,0.74
50,12000,1.579953,0.97,1.646053,0.76
