Epoch,Iteration,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
0,0,2.288841,0.55,103.925049,0.48
0,2000,1.680121,0.46,1.680016,0.48
0,4000,1.675759,0.48,1.674261,0.47
0,6000,1.677468,0.45,1.674244,0.51
0,8000,1.674705,0.45,1.674181,0.54
0,10000,1.680304,0.43,1.673934,0.55
0,12000,1.675704,0.53,1.674915,0.51
0,14000,1.678386,0.5,1.674259,0.57
0,16000,1.67682,0.54,1.676696,0.51
0,18000,1.670821,0.58,1.67682,0.48
0,20000,1.68112,0.49,1.67405,0.52
0,22000,1.672832,0.57,1.681035,0.48
1,0,1.684345,0.44,1.677613,0.48
1,2000,1.678693,0.45,1.67483,0.57
1,4000,1.67452,0.5,1.673429,0.46
1,6000,1.675546,0.49,1.673058,0.5
1,8000,1.672848,0.48,1.672173,0.57
1,10000,1.676253,0.48,1.671181,0.61
1,12000,1.674514,0.55,1.670362,0.61
1,14000,1.678171,0.47,1.666038,0.59
1,16000,1.671043,0.54,1.665641,0.64
1,18000,1.666878,0.65,1.668475,0.6
1,20000,1.680452,0.54,1.660804,0.67
1,22000,1.66476,0.61,1.673697,0.53
2,0,1.668154,0.6,1.665066,0.63
2,2000,1.663178,0.62,1.662008,0.6
2,4000,1.668399,0.62,1.666473,0.6
2,6000,1.675658,0.49,1.665404,0.59
2,8000,1.667166,0.55,1.66506,0.65
2,10000,1.664369,0.62,1.661069,0.61
2,12000,1.674018,0.58,1.666461,0.6
2,14000,1.663945,0.6,1.659996,0.63
2,16000,1.669705,0.56,1.658256,0.66
2,18000,1.661322,0.68,1.660428,0.64
2,20000,1.673374,0.56,1.660128,0.67
2,22000,1.661793,0.65,1.66936,0.57
3,0,1.674717,0.49,1.670086,0.56
3,2000,1.661389,0.63,1.660504,0.65
3,4000,1.65787,0.67,1.658866,0.64
3,6000,1.673781,0.51,1.6594,0.65
3,8000,1.665803,0.56,1.664212,0.61
3,10000,1.656171,0.72,1.656896,0.65
3,12000,1.669499,0.6,1.659873,0.61
3,14000,1.65957,0.66,1.65469,0.64
3,16000,1.666203,0.61,1.654475,0.68
3,18000,1.656719,0.68,1.659504,0.64
3,20000,1.664606,0.59,1.657028,0.7
3,22000,1.659907,0.64,1.666926,0.6
4,0,1.669957,0.55,1.663123,0.61
4,2000,1.657179,0.65,1.658375,0.66
4,4000,1.659583,0.67,1.654169,0.63
4,6000,1.668639,0.6,1.659233,0.66
4,8000,1.659549,0.67,1.658898,0.6
4,10000,1.664793,0.6,1.662127,0.61
4,12000,1.662738,0.64,1.65624,0.63
4,14000,1.660343,0.63,1.655333,0.68
4,16000,1.659714,0.61,1.650038,0.72
4,18000,1.654835,0.72,1.654299,0.69
4,20000,1.66712,0.6,1.652241,0.69
4,22000,1.657933,0.69,1.666056,0.61
5,0,1.666645,0.59,1.66282,0.6
5,2000,1.656202,0.63,1.66394,0.56
5,4000,1.658538,0.68,1.654847,0.67
5,6000,1.662115,0.66,1.659837,0.65
5,8000,1.653297,0.68,1.652666,0.67
5,10000,1.658525,0.67,1.652627,0.67
5,12000,1.660631,0.66,1.65478,0.68
5,14000,1.656479,0.64,1.65385,0.66
5,16000,1.656941,0.64,1.649124,0.72
5,18000,1.648108,0.72,1.65252,0.69
5,20000,1.661263,0.65,1.646505,0.73
5,22000,1.658973,0.67,1.658655,0.63
6,0,1.657787,0.65,1.652792,0.69
6,2000,1.648858,0.7,1.661964,0.59
6,4000,1.661858,0.65,1.657624,0.66
6,6000,1.661529,0.68,1.658443,0.66
6,8000,1.65066,0.66,1.651984,0.68
6,10000,1.659516,0.66,1.658709,0.69
6,12000,1.660412,0.63,1.664011,0.67
6,14000,1.656338,0.69,1.658393,0.7
6,16000,1.655551,0.68,1.647979,0.72
6,18000,1.643837,0.74,1.649813,0.71
6,20000,1.649672,0.69,1.649807,0.7
6,22000,1.660022,0.64,1.659521,0.68
7,0,1.659917,0.68,1.656265,0.64
7,2000,1.647435,0.66,1.658649,0.69
7,4000,1.652347,0.74,1.657449,0.61
7,6000,1.660548,0.66,1.655698,0.68
7,8000,1.648842,0.69,1.650052,0.71
7,10000,1.650463,0.72,1.654708,0.66
7,12000,1.659627,0.6,1.656965,0.72
7,14000,1.654009,0.74,1.657397,0.68
7,16000,1.660451,0.62,1.648864,0.72
7,18000,1.635418,0.76,1.655292,0.65
7,20000,1.642442,0.74,1.649667,0.69
7,22000,1.654433,0.69,1.652449,0.68
8,0,1.660514,0.71,1.653749,0.71
8,2000,1.646158,0.71,1.649218,0.74
8,4000,1.658132,0.66,1.650339,0.66
8,6000,1.659378,0.65,1.655432,0.66
8,8000,1.647765,0.71,1.644708,0.72
8,10000,1.659646,0.69,1.652084,0.7
8,12000,1.648367,0.72,1.654993,0.73
8,14000,1.651842,0.71,1.65192,0.68
8,16000,1.650878,0.71,1.644003,0.77
8,18000,1.637009,0.78,1.645358,0.72
8,20000,1.641596,0.71,1.642441,0.75
8,22000,1.643549,0.75,1.643778,0.74
9,0,1.649158,0.73,1.642589,0.72
9,2000,1.645881,0.7,1.644286,0.77
9,4000,1.657713,0.65,1.657282,0.67
9,6000,1.653049,0.71,1.653077,0.71
9,8000,1.645227,0.73,1.644423,0.72
9,10000,1.658695,0.68,1.646719,0.7
9,12000,1.651054,0.67,1.648519,0.74
9,14000,1.651013,0.72,1.650079,0.71
9,16000,1.646999,0.69,1.643961,0.72
9,18000,1.634615,0.79,1.640582,0.73
9,20000,1.633513,0.75,1.636918,0.74
9,22000,1.634605,0.78,1.630114,0.8
10,0,1.649959,0.68,1.645648,0.72
10,2000,1.643604,0.71,1.641795,0.76
10,4000,1.645453,0.73,1.651141,0.72
10,6000,1.651397,0.68,1.646566,0.74
10,8000,1.643746,0.75,1.645862,0.72
10,10000,1.652562,0.7,1.644569,0.68
10,12000,1.646256,0.69,1.649624,0.74
10,14000,1.643064,0.73,1.64024,0.73
10,16000,1.645558,0.72,1.641852,0.74
10,18000,1.629136,0.77,1.642561,0.73
10,20000,1.630254,0.77,1.635955,0.76
10,22000,1.62877,0.79,1.631613,0.81
11,0,1.64467,0.77,1.634461,0.78
11,2000,1.633705,0.74,1.64096,0.76
11,4000,1.646136,0.7,1.648428,0.69
11,6000,1.645753,0.71,1.647078,0.72
11,8000,1.63563,0.77,1.648184,0.72
11,10000,1.646044,0.72,1.643701,0.74
11,12000,1.644483,0.69,1.648107,0.75
11,14000,1.639084,0.78,1.635561,0.76
11,16000,1.642479,0.74,1.640075,0.75
11,18000,1.621383,0.86,1.641653,0.71
11,20000,1.632074,0.74,1.632772,0.75
11,22000,1.625676,0.82,1.63763,0.77
12,0,1.643749,0.75,1.63051,0.81
