Epoch,Iteration,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
11,10000,1.673474,0.555,1.673771,0.43
11,12000,1.673666,0.47,1.67374,0.43
11,14000,1.673603,0.495,1.673624,0.43
11,16000,1.673601,0.495,1.673581,0.57
11,18000,1.673656,0.45,1.673526,0.57
11,20000,1.6736,0.5,1.673558,0.57
11,22000,1.673589,0.51,1.673516,0.57
12,0,1.673584,0.515,1.673523,0.57
12,2000,1.673605,0.465,1.673626,0.43
12,4000,1.673587,0.51,1.673702,0.43
12,6000,1.673476,0.55,1.673795,0.43
12,8000,1.673675,0.47,1.673756,0.43
12,10000,1.673468,0.555,1.673779,0.43
12,12000,1.673668,0.47,1.673744,0.43
12,14000,1.673602,0.495,1.673619,0.43
12,16000,1.673602,0.495,1.673573,0.57
12,18000,1.673663,0.45,1.673516,0.57
12,20000,1.6736,0.5,1.673551,0.57
12,22000,1.673588,0.51,1.673508,0.57
